x,y,z,HR,T
61.7,27,1.75,0.810093,296.806
61.7,14,1.75,0.8786,295.699
49.7,5.8,1.75,0.899428,295.66
43.4,7.1,1.75,0.898508,295.651
31.4,4.8,1.05,0.917781,295.434
53.45,6.65,1.05,0.905642,295.535
43.5,4.25,1.05,0.913311,295.473
31.4,4.8,1.75,0.911754,295.535
53.45,6.65,1.75,0.891558,295.647
43.5,4.25,1.75,0.903841,295.622
31.4,4.8,2.8,0.90408,295.667
53.45,6.65,2.8,0.873006,295.894
43.5,4.25,2.8,0.893351,295.797
53.45,6.65,4.2,0.870787,296.17
43.5,4.25,4.2,0.865318,296.393
47.7,10.9,4.2,0.886341,295.762
50.5,11.8,4.2,0.96889,293.872
53.45,6.65,4.55,0.86827,296.197
43.5,4.25,4.55,0.857139,296.549
47.7,10.9,4.55,0.808946,297.426
50.5,11.8,4.55,0.954006,294.118
43.1,6.7,4.55,0.838294,296.902
